name,url,tags
UNDECEMBER,https://store.steampowered.com/app/1549250/UNDECEMBER/?snr=1_7_7_7000_150_4,"RPG,Hack and Slash,Multiplayer,Action RPG,Action,Free to Play,Dark Fantasy,Top-Down,Online Co-Op,Co-op,Third Person,Fantasy,Singleplayer,Loot,PvE,Cinematic,Character Customization,PvP,Realistic,Isometric"
Crashlands,https://store.steampowered.com/app/391730/Crashlands/?snr=1_7_7_7000_150_4,"Open World Survival Craft,RPG,Survival,Open World,Exploration,Crafting,Singleplayer,Adventure,Sandbox,Indie,Base Building,2D,Building,Sci-fi,Top-Down,Comedy,Story Rich,Funny,Female Protagonist,Multiplayer"
Cuphead,https://store.steampowered.com/app/268910/Cuphead/?snr=1_7_7_7000_150_4,"Difficult,Cartoon,Co-op,Platformer,Great Soundtrack,Local Co-Op,2D,Hand-drawn,Multiplayer,Indie,Retro,Cartoony,Bullet Hell,Action,Shoot 'Em Up,Singleplayer,Side Scroller,Colorful,Funny,Atmospheric"
Brotato,https://store.steampowered.com/app/1942280/Brotato/?snr=1_7_7_7000_150_4,"Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,Cute"
ARMORED CORE™ VI FIRES OF RUBICON™,https://store.steampowered.com/app/1888160/ARMORED_CORE_VI_FIRES_OF_RUBICON/?snr=1_7_7_7000_150_4,"Mechs,3D,Third Person,Character Customization,Combat,Action,Post-apocalyptic,Robots,Multiplayer,Futuristic,Fast-Paced,Sci-fi,Soundtrack,Vehicular Combat,Souls-like,Singleplayer,Military,Co-op,Action-Adventure,Online Co-Op"
Aliens: Dark Descent,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent/?snr=1_7_7_7000_150_4,"Strategy,Action,Tactical,RTS,Sci-fi,Action-Adventure,Singleplayer,Dark,3D,Space,Survival,Aliens,Horror,Violent,Real Time Tactics,Combat,Top-Down,Stealth,Isometric,Multiplayer"
Medieval Dynasty,https://store.steampowered.com/app/1129580/Medieval_Dynasty/?snr=1_7_7_7000_150_4,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,First-Person,Exploration,Historical,Action,Co-op,Early Access"
Children of Morta,https://store.steampowered.com/app/330020/Children_of_Morta/?snr=1_7_7_7000_150_4,"Multiplayer,Roguelike,Hack and Slash,Action Roguelike,Roguelite,Pixel Graphics,Online Co-Op,RPG,Action,Local Co-Op,Dungeon Crawler,Singleplayer,Story Rich,Co-op,Isometric,2D,Action RPG,Procedural Generation,Fantasy,Action-Adventure"
Satisfactory,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_7000_150_4,"Base Building,Automation,Open World,Multiplayer,Crafting,Co-op,Resource Management,Building,Sandbox,Exploration,Adventure,Early Access,Open World Survival Craft,Simulation,Survival,Strategy,First-Person,Sci-fi,Singleplayer,Indie"
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_7000_150_4,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
